,Task type,MVTec Category,Model,train,export,deploy,nncf,pot,train E2E Time (Sec.),export E2E Time (Sec.),deploy E2E Time (Sec.),nncf E2E Time (Sec.),pot E2E Time (Sec.),train Eval Time (Sec.),export Eval Time (Sec.),deploy Eval Time (Sec.),nncf Eval Time (Sec.),pot Eval Time (Sec.)
0,anomaly_detection,bottle,STFPM,f-measure: 0.744,f-measure: 0.759,f-measure: 0.759,f-measure: 0.752,f-measure: 0.761,1356.347,21.561,10.847,551.144,63.444,22.319,37.086,23.716,22.312,23.313
1,anomaly_detection,bottle,PADIM,f-measure: 0.921,f-measure: 0.846,f-measure: 0.846,f-measure: 0.958,f-measure: 0.836,121.353,20.981,14.379,155.338,79.117,22.518,30.791,33.231,22.66,21.215
2,anomaly_detection,cable,STFPM,f-measure: 0.601,f-measure: 0.41,f-measure: 0.41,f-measure: 0.604,f-measure: 0.409,778.169,21.814,12.494,563.561,80.428,26.702,57.135,41.635,28.577,39.657
3,anomaly_detection,cable,PADIM,f-measure: 0.678,f-measure: 0.588,f-measure: 0.588,f-measure: 0.68,f-measure: 0.599,128.718,19.26,13.352,154.604,111.963,27.459,54.228,44.546,24.56,42.562
4,anomaly_detection,capsule,STFPM,f-measure: 0.821,f-measure: 0.826,f-measure: 0.826,f-measure: 0.821,f-measure: 0.826,752.927,20.094,11.247,559.607,80.4,31.333,46.332,39.11,28.219,35.17
5,anomaly_detection,capsule,PADIM,f-measure: 0.837,f-measure: 0.826,f-measure: 0.826,f-measure: 0.844,f-measure: 0.795,534.334,20.248,13.309,161.125,105.312,27.329,47.205,33.796,26.919,34.298
6,anomaly_detection,carpet,STFPM,f-measure: 0.75,f-measure: 0.762,f-measure: 0.762,f-measure: 0.866,f-measure: 0.775,977.977,19.523,11.266,1413.436,93.065,27.952,53.725,44.958,42.143,44.866
7,anomaly_detection,carpet,PADIM,f-measure: 0.764,f-measure: 0.761,f-measure: 0.761,f-measure: 0.764,f-measure: 0.744,720.094,19.156,13.002,700.921,99.079,24.434,39.329,31.855,46.102,27.029
8,anomaly_detection,grid,STFPM,f-measure: 0.779,f-measure: 0.498,f-measure: 0.498,f-measure: 0.792,f-measure: 0.495,624.409,15.362,11.89,1065.248,62.566,23.194,30.717,23.368,25.104,20.722
9,anomaly_detection,grid,PADIM,f-measure: 0.787,f-measure: 0.487,f-measure: 0.487,f-measure: 0.727,f-measure: 0.491,111.853,17.244,14.14,246.078,87.32,21.743,34.051,24.517,25.41,23.135
