,Task type,Train type,Label type,Model,train,export,deploy,nncf,pot,train E2E Time (Sec.),export E2E Time (Sec.),deploy E2E Time (Sec.),nncf E2E Time (Sec.),pot E2E Time (Sec.),train Eval Time (Sec.),export Eval Time (Sec.),deploy Eval Time (Sec.),nncf Eval Time (Sec.),pot Eval Time (Sec.)
0,classification,supervised,multi_class,EfficientNet-V2-S,Accuracy: 0.753,Accuracy: 0.756,Accuracy: 0.756,Accuracy: 0.756,Accuracy: 0.731,103.542,60.807,22.072,1245.054,283.325,21.425,39.938,37.569,53.33,36.615
1,classification,supervised,multi_class,MobileNet-V3-large-1x,Accuracy: 0.728,Accuracy: 0.728,Accuracy: 0.728,Accuracy: 0.733,Accuracy: 0.692,91.159,32.454,15.701,352.947,143.136,22.95,27.505,23.951,33.237,22.538
2,classification,supervised,multi_class,EfficientNet-B0,Accuracy: 0.769,Accuracy: 0.769,Accuracy: 0.769,Accuracy: 0.758,Accuracy: 0.753,97.82,36.508,16.123,1016.029,129.238,19.973,26.033,23.627,46.674,21.533
3,classification,semi_supervised,multi_class,EfficientNet-V2-S,Accuracy: 0.831,-,-,-,-,493.345,-,-,-,-,24.197,-,-,-,-
4,classification,semi_supervised,multi_class,MobileNet-V3-large-1x,Accuracy: 0.764,-,-,-,-,317.886,-,-,-,-,24.329,-,-,-,-
5,classification,semi_supervised,multi_class,EfficientNet-B0,Accuracy: 0.828,-,-,-,-,340.885,-,-,-,-,18.391,-,-,-,-
6,classification,self_supervised,multi_class,EfficientNet-V2-S,Accuracy: 0.747,-,-,-,-,53.535,-,-,-,-,32.317,-,-,-,-
7,classification,self_supervised,multi_class,MobileNet-V3-large-1x,Accuracy: 0.719,-,-,-,-,69.584,-,-,-,-,24.676,-,-,-,-
8,classification,self_supervised,multi_class,EfficientNet-B0,Accuracy: 0.772,-,-,-,-,51.071,-,-,-,-,22.458,-,-,-,-
9,classification,class_incr,multi_class,EfficientNet-V2-S,Accuracy: 0.8,-,-,-,-,134.915,-,-,-,-,23.531,-,-,-,-
10,classification,class_incr,multi_class,MobileNet-V3-large-1x,Accuracy: 0.76,-,-,-,-,109.944,-,-,-,-,23.178,-,-,-,-
11,classification,class_incr,multi_class,EfficientNet-B0,Accuracy: 0.8,-,-,-,-,99.421,-,-,-,-,21.431,-,-,-,-
12,classification,supervised,multi_label,EfficientNet-V2-S,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.989,242.586,30.993,406.276,741.291,274.416,25.915,37.113,50.62,72.473,39.392
